Rating,Review
1,Worst and pathetic services that anyone can provide. Do not ever trust the Indian railway system. The whole system is corrupted.
1,"PNR-2537404628
Trn:12056
Dt:02-03-20
Frm DDN to NDLS
Cls:2S
P1-D7, 68
Today (02/03/2020) in I am traveling from Dehradun to Delhi in Jan Shatabdi and I found that the food quality in this train has improved TO WORST ""I ordered one Aloo Paratha and I found hair in it and requests to replace it. The employee selling the paratha, refused to replace it as the pack was opened. The tone used by the employee was very harsh.. I guess he was illiterate and having some pan masala"
1,I've always faced this issue whenever I travelled in indian Railways.. I dont know why do they stop at any location for so long... Every time i travelled I was atleast qn hour late some times like 3 hours late...
2,"IRCTC:- Drama of sleeping by administrator

IRCTC means Indian railway catering and tourist co-operation.

its easy to wake up someone who is slept, but its most difficult to wake up someone who is acting as if it is slept:- unknown

As far as I know, every organisation are meant to be formed for the smooth public service, IRCTC might be helpful in some cases, but true fact that is this governing body really working for the welfare of public in INDIAN RAILWAYS which is having annual profit of more than thousands of crores every year.....?

i dont want to compain to any people here, because perhaps the administration system is itself not working or may be it is playing the drama of being unknown about the every incident which is hurting public and inner tourist who are using the railway transport system while travelling from one place of India to another...

perhaps these might be difficulties not only of me alone, but the every traveller who had a unusual day while travelling from railway...

Usually, we know that IRCTC is given duty of servicing people in catering sector in indian railway inside railway and inside the platform of Railways...

let us talk about the food inside railways....

I normally dont know what is the condition in first class compartment, but talking about the second class compartment, food is not better than of good quality, very high prices and un-reliable time table of serving Food..

the first thing that comes in my mind about food is third class and bad quality of tea in RS 5,

not a single constumer takes it from all satisfaction and as a result, we have to take tea outside of catering server when any platform comes because the outer tea is much cheaper with atleast good taste.

lunch, dinner and other food are not of good quality, and perhaps everyone knows the quality of lunch and dinner in railways... Because there is no option other than going for those food, we have to take these food just for the sake of stomach....

Well.. The MRP of food product is said to be the maximum retailing price of any product and in this price the benefits as well as every taxes..

But, we wont get any food on MRP rate, always the higher rate than of listed tag price

while asking why price is high than of tag price, they say, its simply the order by our owner.....

the each and every product is expensive by RS 2 while the soft drinks of MRP 20 are sold in RS 25

morever, even in the railway platform, the price is really higher....

and many times, the food inside the canteen in long route railway seems of food of last night

now the question comes here....

why this negligent is being done by the adminstration of railway and IRCTC?

Do they want to make more profit in railway by those raised high price?

perhaps they have never travelled by indian railway, so this might be the unawareness... but why are they not taking any action in those contractors and worker who takes high price and prepares low quality food...?

this is not about paying RS 2 extra... but this is because of where our systems damages from small level.. and this is place from where the corruption starts...


Every people are tired of compalining, but if anyone in IRCTC and railway is really waking here, I advice you to take the immediate action and solve the people....


Dear MSians, let me know what do u feel on this topic...

And dear administrators of moutshut.com, I hereby request you to forward this review to concerned department so that they may be still not sleeping...

Recomendation of yes because there is no other option...

because better than having no food, atleast have some food...
"
1,Wow as you can see that cleanness of the train so much of water on the floor traveler can not keep their luggage safely and seat was too dirty.... If u are think that you will call housekeeping so forget about that bcs you will call but they want to come and clean bcs every staff have a great attitude I ask one staff he said this is not my problem and then I ask T. T he also said he will come but I think he will come when we will reached the destination.. Why its not clean before arrived at station .... Pls guys if you guys will work like this I m telling you the coming time no one will come to these type of train.. Train number 12621 tamilnadu express.. Hope you guys will do better work on it..
1,"I am a passenger of Indian railway since my childhood as my father was in transferable job in a year I have 2 spend at least 20 days in train now my work is also same since past 30 years railway could not improve itself on any of its dimensions. Weather it be running on time or the availability of seat or bribe monster ticketcheckers.

I could not understand a business which is running in loss as it has more customers it could not accommodate its ticket buyers who purchase ticket 4 month prior to journey. I.e railway is knowing that after 4 months these no of passengers will be travelling still ticket gets cancelled and giving no respect to the customers. And making room for the bribe monster TTE to sell black at exponential rate without giving penny to government.

In my past 30 year train experience I have not seen a good train other than rajdhani and shatabdi. It seems that rajdhani and shatabdi are only trains Indian railway operates with dedication.

Today I am sitting in a heavily crowded train no 12941 and Iwanted to travell from Agra fort to kanpur which is nearly 250 km this is a superfast (nice mockery of the word) train scheduled to depart from AGRA FORT At 1540 hrs and arrive Kanpur central at before 2000hrs it arrived right time and now at 21:30 in six hours my superfast tran any how managed to travel 80 kms from agra fort (I think bicycles move even faster than superfast trains).
"
1,"First of all please remove that express tag from this train. This train suppose to arrive at 9:15 am at pune station but god knows what happen train just stopped 2 km away from pune station for 2 hrs and arrived on station at 11:15 ..again running status shows it will cover further distance fast but alas! This F....ing train slowed down and it took more than 12 hrs to reach belgaum..which usually took 8 hrs by other trains..Why dont u guys change its name to local passenger??...this train keeps standing for hrs and hrs every niw abd then....after searching online reviews this train has highest record of delaying for more than 6 hrs?? without any reason....no other train took this much time...and this is not the first time that this train has been delayed....i will never ever going to travel by indian train again.....very irresponsible staff n service..i will not recommend anyone to go by train..use bus or flight instead....atleast it will save your precious time.
"
3,"Pune hamsafar santragachi express. Although it charge much higher but one of the worst train ever. No attendant, no pants, 6 hours late. Really corruption at its peak. It started from its destination station 2 hour late and apart from covering it is again and again late.
"
2,"Dear IR, Appreciate your effort on providing toilets with tissue paper rolls., however, it would be much better if you can extend the length of chained mugs provided as it won't reach up to butt.

Since we Indians prefer water over anything, a better water facility would be much appreciated.

By the way kudos for improved cleanliness!
"
1,"Hello friend I am dev and today I will share my real experience about Indian railways with all of you,

Now I am going to tell about IRCTC

mean of IRCTC is Indian railways catering and tourist co-operation ,

It easy to make up who is slept but it most difficult to wake up someone who is acting as if it is slept: - unknown

As far as I know , every organisation are meant to be formed for the smooth public service , in irctc might be helpful in some cases, but true fact that is this governing body really working for the welfare of public in Indian railways, which is having annual profile of more than thousands of crorest every year. I don't want to complain to any people here, because perhaps tha administration system is itself not working or may be it is playing the drama of being unknown about the every incident which is hurting public and inner tourist who are using the railway transport system , while traveling one place of India to another, Perhaps these nights be difficults not only of me alone but the every travellers who had unusual day while traveling from railways,

So now taking about inside railways,

I normally don't know what is the condition in first class compartment but talking about the second class compartment , food is not batter then of good quality, very costly and un-reliable time table of serving food, The first thing that comes in my mind about food is third class and bad quality of tea in 10 rs

Not a single customer takes it from all satisfaction and as a result , we have to take a tea outside catering server when any platform comes because the outer tea is much cheaper with atleast good taste, And lunch, dinner abd other food are not of good quality and perhaps everyone know the quality of lunch and dinner in railways , because there is no other option then going for those food, we have to take those food just for the sake of stomach.

And the MRP of food products is said to be the maximum retailing price of any products in this price the benefits as well as every taxes,

But we won't get any food on mrp rate always the highest rate then of listed tag price,

And they want to more profite in railways by those raised high price,

So all my friends this is my real opinion abot it's.
"
1,"Hello friends today I want to share my bad experience with Indian railways timing of luxurious trains. Yesterday my mom travelled Train No. 12203, GARIB RATH Express, rom Samastipur go to New Delhi JN. My mom Also suffer so many desease. After that reaching Samastipur, inquiry office said train delay for 2 hour my mom wait for train after that again going to inquiry office, he said train delay 4 hour, after 4 hour train reached Samastipur station my mom taken train 11.10 Pm train timing for departure from Samastipur JN 6:15 PM, still my mom not reaching at New Delhi train delay 8:30, May I Ask Every Indian Railway all Employees, common people How Can I say achche din aa gaye. Yeh Hai hamare achhe din. Apne desh me bullet jaisi traino ka shilanayas ho raha hai to baki ke traino ka timing par sudhar kyon nahi hai. Can you answer me. I am not happy with services of Indian Railways. Very bad profomance."
1,"Hello friends today I want to share my bad experience with Indian railways staff. Last week I want to go to sirhind from kirtpur sahib. I have an option to travel in train.The train schedule was 2: 35 pm. I have reached the railway station on time & bought the ticket. Now I was waiting the train till 3: 30 pm. but the train had not come. Then I go to ticket window ( jnqueary) and ask about 64512 train status. They said me that the railway track repair work has on progress and no any train will come before 5 o'clock. To hear this I feel so sad. If they know about that why did`nt they announced, and why they sold me ticket. I left the railway station and reached sirhind by bus.
"
3,"Worst time mangmnt, secbad to tirupati seven hills train 12770, 23rd sept, supposed reach tirupati at 5.45 am, but now 10.06 am still not reached, I have to attend training starts at 9 a.m, who takes responsibility for 5hrs delay, p plz respond.more than 16 hrs for just 700 km journey.vexed with the railway management.
"
1,"I have just cancelled online ticket from pune to kalyan maharashtra. It cost Rs. 75+ service charges 22.90+ bank charges 10 Rs. 108/- in total.

But I get 1000 volt shock when I get cancellation receipt as it shows refund amount of Only Rs. 15/- What a damn.

Its ok that service charges are not refundable. But a huge 80% deduction as a cancellation

fees is absolutely unfair for small people. No one can accept such a huge cancellation fees.

I only had a 75/-+ Rs. ticket . But imagine you have booked rs. 3800/- or more amount of ticket and if you need to cancel the ticket because of some emergency.

Mr. Railway minister please rethink about this huge cancellation fees.
"
2,"20th Feb, 2016. I went to old Delhi Railway station with 5 other members of my family to board Rani Khet express. Unfortunately, Train was cancelled due to JAAT protest. We then went to Anand Vihar Bus terminal to reach our destination by Bus. Waiting since so much days, as someone told me that for cancelled trains u get refund automatically. Today I contacted them and asked for the refund. they say ""THE TAIN WAS NOT CANCELLED"" For Gode Sake ""How can they say so? ""

I am not getting any refund.
"
1,Delay is the norm of indian railways.Ministry don't understand the valuable time lost by passengers due to indian railways inconsistency schedules.
3,"I arrived at chennai railway station by pnr no. 4615768840 on 12.02.2020 suddenly rail attendent came to me and returened my wallet which was left in my seat in coach no. AH1. I really appreciate the honesty of attendent
"
1,"No train reaches station on schedule. It is better to privatize railways in India.

It is BSNL of past!
"
1,"I am traveling on tejas express dated 21/01/2020

Ec -1 , in whole train no tv is working no usb is working and amount is very high

Very bad facilities not up to the mark.

No difference between normal cc and Ec.

Wastage of money

Suggestions not to travel in tejas express
"
1,"I Ised to travel 30 years before and in 2020. The Research & Development done by Indian Railways seems to be failed.

The passengers Can't sleep inside the Sleeper Coach. All trains are being vibrate exorbitantly. Per Second the train vibrate 5 times then how passengers can sleep?

Need to improve lot.

At Europe trains goes at speed of 400kms per hour the passenger can't feel single vibration.

When the Indian Railways will change?
"
1,One of the foolish Dept in India..not a single work handled by them depsite large number of workers. Not a single train runs on time..it should be bhojpuri railway not Indian railway. They are good at just making people panic. Kuch nahi ata unko ..there women are satisfied always frustrated at public..
1,"1) 3AC - cleanliness - 3 out of 5

2) Toilets - 2 out of 5

3) Food - 0.5 out of 5

Seriously 3AC is also not so clean.

Toilets are dirty.

Food is really bad.

Most of the working staff/ food caterer are chewing guthka and all. They literally spit while they talk or when they're taking order.

I've completed 5 hrs of journey and this is the condition of this train.
"
1,"Very worst experience to travel in this train started on Jan-01-2020. This train is 10hr late till the destination.There is pantry, no good toilets, 3AC coaches also not clean.
"
1,"Train name: kota udaipur special

Train timing: 1.00 pm from kota (departure)

""Unhygienic, smelly, dirty coaches and bathrooms, even the 1 AC compartments are not considerable.Horrible maintainance.. even they didn't provide the clean sheets.

Makes you feel like Don't wanna touch anything or may even vomit.
"
